Title;Description;Price;Stock;Subcategory;Image_Path
Koeratoidu kallinemisega on külalised meile oodatud.;Koeratoidu kallinemisega on külalised meile oodatud.;13;3;Koerad;/path/to/image_91.jpg
Koer ilgelt kuri naisel närvid läbi kass ka emane;Koer ilgelt kuri naisel närvid läbi kass ka emane;13;4;Koerad;/path/to/image_92.jpg
Koer puhkusel, naine valvab.;Koer puhkusel, naine valvab.;13;1;Koerad;/path/to/image_93.jpg
Säärekondi expert!;Säärekondi expert!;13;3;Koerad;/path/to/image_94.jpg
Sina valid suuna, mina kiiruse.;Sina valid suuna, mina kiiruse.;13;2;Koerad;/path/to/image_95.jpg
Mina jõuan aiani sekundiga -aga sina?;Mina jõuan aiani sekundiga -aga sina?;13;3;Koerad;/path/to/image_96.jpg
Kodu ilma koerata on lihtsalt maja;Kodu ilma koerata on lihtsalt maja;13;;Koerad;/path/to/image_97.jpg
Ei hammusta , lakub surnuks;Ei hammusta , lakub surnuks;13;2;Koerad;/path/to/image_98.jpg
Väike murdja, ära peale astu;Väike murdja, ära peale astu;13;3;Koerad;/path/to/image_99.jpg
Ma ei ole kuri lihtsalt närvid läbi;Ma ei ole kuri lihtsalt närvid läbi;13;4;Koerad;/path/to/image_100.jpg
Meil on aias koer;Meil on aias koer;13;2;Koerad;/path/to/image_101.jpg
Ettevaatust territoorium on valva all;Ettevaatust territoorium on valva all;13;1;Koerad;/path/to/image_102.jpg
Koer on kuri ja kett on made in china;Koer on kuri ja kett on made in china;13;1;Koerad;/path/to/image_103.jpg
Ettevaatust koer ,kass on ka kahtlane;Ettevaatust koer ,kass on ka kahtlane;13;1;Koerad;/path/to/image_104.jpg
Tavaliselt ma üle kahe ei söö;Tavaliselt ma üle kahe ei söö;13;1;Koerad;/path/to/image_105.jpg
Kiired ja vihased;Kiired ja vihased;13;1;Koerad;/path/to/image_106.jpg
Ettevaatust närin kõike ,peale sooja sita ja tulise raua.;Ettevaatust närin kõike ,peale sooja sita ja tulise raua.;13;1;Koerad;/path/to/image_107.jpg
Ettevaatust! koer on aias.;Ettevaatust! koer on aias.;13;1;Koerad;/path/to/image_108.jpg
Siin elab tubli ja ilus koer;Siin elab tubli ja ilus koer;13;1;Koerad;/path/to/image_109.jpg
Koer ei ole kuri ,karda parem perenaist;Koer ei ole kuri ,karda parem perenaist;13;1;Koerad;/path/to/image_110.jpg
Ettevaatust iseloomuga valvur;Ettevaatust iseloomuga valvur;13;1;Koerad;/path/to/image_111.jpg
Purõja pini;Purõja pini;13;1;Koerad;/path/to/image_112.jpg
Õues on koerad, kes nalja ei mõista;Õues on koerad, kes nalja ei mõista;13;1;Koerad;/path/to/image_113.jpg
Kinnistul on lahtised valve koerad;Kinnistul on lahtised valve koerad;13;1;Koerad;/path/to/image_114.jpg
Meie uksekell on väga vali, nelja jalga ja teravate hammastega;Meie uksekell on väga vali, nelja jalga ja teravate hammastega;13;1;Koerad;/path/to/image_115.jpg
Olen ilus ja tark valvur;Olen ilus ja tark valvur;13;1;Koerad;/path/to/image_116.jpg
Koer aias;Koer aias;13;1;Koerad;/path/to/image_117.jpg
Koera söögialus väike;Koera söögialus väike;13;1;Koerad;/path/to/image_118.jpg
Koera söögialus kaldus;Koera söögialus kaldus;13;1;Koerad;/path/to/image_119.jpg
Koera söögialus keskmine;Koera söögialus keskmine;13;1;Koerad;/path/to/image_120.jpg
Koera söögialus väga suur;Koera söögialus väga suur;13;1;Koerad;/path/to/image_121.jpg
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
